,index,x,y,z,SegmentationRegionSlice
0,497,-239.53125,-239.53125,-1512.5,Outside of AOI
1,530,-239.53125,-239.53125,-1511.0,Outside of AOI
2,360,-239.53125,-239.53125,-1509.5,Outside of AOI
3,389,-239.53125,-239.53125,-1508.0,Outside of AOI
4,316,-239.53125,-239.53125,-1506.5,Outside of AOI
5,290,-239.53125,-239.53125,-1505.0,Outside of AOI
6,766,-239.53125,-239.53125,-1503.5,Outside of AOI
7,740,-239.53125,-239.53125,-1502.0,Outside of AOI
8,361,-239.53125,-239.53125,-1500.5,Outside of AOI
9,388,-239.53125,-239.53125,-1499.0,Outside of AOI
10,318,-239.53125,-239.53125,-1497.5,Outside of AOI
11,289,-239.53125,-239.53125,-1496.0,Outside of AOI
12,460,-239.53125,-239.53125,-1494.5,Outside of AOI
13,427,-239.53125,-239.53125,-1493.0,Outside of AOI
14,495,-239.53125,-239.53125,-1491.5,Outside of AOI
15,531,-239.53125,-239.53125,-1490.0,Outside of AOI
16,4,-239.53125,-239.53125,-1488.5,Outside of AOI
17,62,-239.53125,-239.53125,-1487.0,Outside of AOI
18,956,-239.53125,-239.53125,-1485.5,Outside of AOI
19,901,-239.53125,-239.53125,-1484.0,Outside of AOI
20,959,-239.53125,-239.53125,-1482.5,Outside of AOI
21,1014,-239.53125,-239.53125,-1481.0,Outside of AOI
22,846,-239.53125,-239.53125,-1479.5,Outside of AOI
23,893,-239.53125,-239.53125,-1478.0,Outside of AOI
24,834,-239.53125,-239.53125,-1476.5,Outside of AOI
25,789,-239.53125,-239.53125,-1475.0,Outside of AOI
26,265,-239.53125,-239.53125,-1473.5,Outside of AOI
27,205,-239.53125,-239.53125,-1472.0,Outside of AOI
28,844,-239.53125,-239.53125,-1470.5,Outside of AOI
29,894,-239.53125,-239.53125,-1469.0,Outside of AOI
30,833,-239.53125,-239.53125,-1467.5,Outside of AOI
31,790,-239.53125,-239.53125,-1466.0,Outside of AOI
32,958,-239.53125,-239.53125,-1464.5,Outside of AOI
33,900,-239.53125,-239.53125,-1463.0,Outside of AOI
34,961,-239.53125,-239.53125,-1461.5,Outside of AOI
35,1012,-239.53125,-239.53125,-1460.0,Outside of AOI
36,892,-239.53125,-239.53125,-1458.5,Outside of AOI
37,847,-239.53125,-239.53125,-1457.0,Outside of AOI
38,208,-239.53125,-239.53125,-1455.5,Outside of AOI
39,261,-239.53125,-239.53125,-1454.0,Outside of AOI
